Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",114.274600,103.314500,90.000000,top
"C2","0.1uF","C_0805_2012Metric",140.944600,103.949500,90.000000,top
"C3","0.1uF","C_0805_2012Metric",89.890600,103.441500,90.000000,top
"C4","0.1uF","C_0805_2012Metric",89.890600,108.521500,270.000000,top
"C5","0.1uF","C_0805_2012Metric",100.050600,98.107500,180.000000,top
"C6","0.1uF","C_0805_2012Metric",94.970600,98.107500,0.000000,top
"C7","0.1uF","C_0805_2012Metric",53.568600,77.721500,270.000000,top
"C8","0.1uF","C_0805_2012Metric",68.808600,95.567500,0.000000,top
"C9","0.01uF","C_0805_2012Metric",140.944600,110.299500,90.000000,top
"C10","0.01uF","C_0805_2012Metric",114.274600,109.029500,90.000000,top
"C11","22pF","C_0805_2012Metric",83.032600,68.643500,270.000000,top
"C12","22pF","C_0805_2012Metric",91.160600,68.643500,270.000000,top
"C13","10uF","C_1206_3216Metric",59.156600,77.787500,90.000000,top
"C14","47uF","CP_Elec_6.3x5.4",142.468600,54.419500,90.000000,top
"C15","0.1uF","C_0805_2012Metric",82.524600,108.267500,270.000000,top
"D1","1A 50v","D_SMA",128.244600,53.911500,270.000000,top
"IC1","MAX31855K","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",134.594600,107.759500,270.000000,top
"IC2","MAX31855K","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",121.894600,107.759500,270.000000,top
"IC4","MAX3232CPWR","TSSOP-16_4.4x5mm_P0.65mm",97.510600,105.981500,90.000000,top
"IC5","MCP2515-xSO","SOIC-18W_7.5x11.6mm_P1.27mm",68.300600,81.851500,0.000000,top
"R1","120","R_0805_2012Metric",53.060600,101.663500,0.000000,top
"R2","10K","R_0805_2012Metric",81.508600,85.915500,90.000000,top
"Y1","8MHz","Crystal_SMD_HC49-SD",87.096600,76.263500,0.000000,top
